start,low,high,open,close,volume,fibonacciretracement_signal,FlowMinMax,ew_0,ew_1,ew_2,ew_3,ew_4,ew_5,ew_a,ew_b,ew_c,signal
2025-06-12 00:00:00,3.3719,3.4,3.3952,3.3736,243407.9,0,0,,,,,,,,,,0
2025-06-12 00:30:00,3.3591,3.3904,3.3737,3.3852,187862.0,0,1,,,,,,,,,,0
2025-06-12 01:00:00,3.3616,3.3852,3.3849,3.3633,137638.4,0,-1,,,,,,,,,,0
2025-06-12 01:30:00,3.3506,3.3692,3.3636,3.3666,277764.0,0,1,,,,,,,,,,0
2025-06-12 02:00:00,3.3491,3.3794,3.3663,3.3558,142548.4,0,0,,,,,,,,,,0
2025-06-12 02:30:00,3.3474,3.3584,3.3555,3.3486,103887.1,0,0,,,,,,,,,,0
2025-06-12 03:00:00,3.3223,3.356,3.3498,3.3289,223994.6,0,-1,,,,,,,,,,0
2025-06-12 03:30:00,3.3243,3.3492,3.3291,3.3366,465114.9,0,1,,,,,,,,,,0
2025-06-12 04:00:00,3.3236,3.3405,3.336,3.3316,592955.3,0,0,,,,,,,,,,0
2025-06-12 04:30:00,3.3141,3.3354,3.3315,3.3298,289704.6,0,-1,,,,,,,,,,0
2025-06-12 05:00:00,3.3118,3.3424,3.3299,3.3406,218177.7,0,0,,,,,,,,,,0
2025-06-12 05:30:00,3.332,3.3473,3.341,3.3411,137435.6,0,1,,,,,,,,,,0
2025-06-12 06:00:00,3.3246,3.3426,3.3408,3.3352,87796.4,0,-1,,,,,,,,,,0
2025-06-12 06:30:00,3.3354,3.356,3.3354,3.3462,130695.5,0,1,,,,,,,,,,0
2025-06-12 07:00:00,3.3404,3.3559,3.3465,3.3408,106779.6,0,0,,,,,,,,,,0
2025-06-12 07:30:00,3.3255,3.3497,3.3407,3.3328,286376.8,0,0,,,,,,,,,,0
2025-06-12 08:00:00,3.3036,3.3364,3.3327,3.3205,351446.8,0,-1,,,,,,,,,,0
2025-06-12 08:30:00,3.3135,3.3313,3.3195,3.3238,76533.3,0,1,,,,,,,,,,0
2025-06-12 09:00:00,3.313,3.3298,3.3238,3.3192,70058.8,0,0,,,,,,,,,,0
2025-06-12 09:30:00,3.3119,3.3266,3.3195,3.3128,48273.8,0,0,,,,,,,,,,0
2025-06-12 10:00:00,3.2794,3.3159,3.3125,3.2923,712567.5,0,-1,,,,,,,,,,0
2025-06-12 10:30:00,3.2821,3.2976,3.2922,3.294,271500.0,0,1,,,,,,,,,,0
2025-06-12 11:00:00,3.2533,3.2975,3.2937,3.2553,303014.6,0,-1,,,,,,,,,,0
2025-06-12 11:30:00,3.2538,3.2736,3.2568,3.2629,203934.4,0,0,,,,,,,,,,0
2025-06-12 12:00:00,3.2495,3.2725,3.263,3.2688,446997.7,0,0,,,,,,,,,,0
2025-06-12 12:30:00,3.2634,3.2946,3.2687,3.2784,635067.8,0,0,,,,,,,,,,0
2025-06-12 13:00:00,3.2746,3.2964,3.2782,3.2827,218639.1,0,0,,,,,,,,,,0
2025-06-12 13:30:00,3.2703,3.3144,3.2828,3.3112,683250.4,0,0,,,,,,,,,,0
2025-06-12 14:00:00,3.3088,3.3337,3.3118,3.3288,474555.8,0,0,,,,,,,,,,0
2025-06-12 14:30:00,3.3276,3.3614,3.3292,3.3473,317129.3,0,1,,,,,,,,,,0
2025-06-12 15:00:00,3.3156,3.3612,3.3474,3.3264,442485.6,0,0,,,,,,,,,,0
2025-06-12 15:30:00,3.2805,3.338,3.326,3.2885,271717.8,0,-1,,,,,,,,,,0
2025-06-12 16:00:00,3.2837,3.342,3.2885,3.3378,239965.9,0,1,,,,,,,,,,0
2025-06-12 16:30:00,3.3253,3.3461,3.338,3.3306,102371.2,0,-1,,,,,,,,,,0
2025-06-12 17:00:00,3.329,3.354,3.3307,3.3518,171438.3,0,0,,,,,,,,,,0
2025-06-12 17:30:00,3.3494,3.3728,3.3525,3.3582,205703.4,0,1,,,,,,,,,,0
2025-06-12 18:00:00,3.3288,3.3619,3.3582,3.3337,92892.9,0,0,,,,,,,,,,0
2025-06-12 18:30:00,3.3156,3.3504,3.3341,3.3304,497801.3,0,0,,,,,,,,,,0
2025-06-12 19:00:00,3.3232,3.3392,3.3303,3.3293,514942.9,0,0,,,,,,,,,,0
2025-06-12 19:30:00,3.241,3.3295,3.3292,3.2586,804666.4,0,-1,,,,,,,,,,0
2025-06-12 20:00:00,3.2486,3.275,3.2584,3.2703,329216.5,0,1,,,,,,,,,,0
2025-06-12 20:30:00,3.1854,3.2723,3.27,3.2103,1708392.5,-1,-1,,,,,,,,,,-1
2025-06-12 21:00:00,3.2025,3.2491,3.2092,3.248,345572.9,0,1,,,,,,,,,,0
2025-06-12 21:30:00,3.2082,3.2492,3.2472,3.2082,225682.9,0,-1,,,,,,,,,,0
2025-06-12 22:00:00,3.2082,3.2304,3.2082,3.2138,139423.1,0,1,,,,,,,,,,0
2025-06-12 22:30:00,3.1908,3.2206,3.2139,3.2091,610721.7,0,-1,,,,,,,,,,0
2025-06-12 23:00:00,3.1944,3.2223,3.209,3.2223,251934.7,0,1,,,,,,,,,,0
2025-06-12 23:30:00,3.209,3.2324,3.2214,3.209,79796.6,0,0,,,,,,,,,,0
2025-06-13 00:00:00,3.0202,3.2118,3.2094,3.0339,4553370.9,-1,0,,,,,,,,,,-1
2025-06-13 00:30:00,2.958,3.0494,3.0345,2.9951,2657566.9,0,0,,,,,,,,,,0
2025-06-13 01:00:00,2.921,2.995,2.995,2.9579,1865405.7,0,-1,,,,,,,,,,0
2025-06-13 01:30:00,2.92,2.9874,2.958,2.9794,893434.6,0,1,,,,,,,,,,0
2025-06-13 02:00:00,2.9368,2.9886,2.9784,2.9598,1038840.4,-1,-1,,,,,,,,,,-1
2025-06-13 02:30:00,2.9336,2.976,2.9596,2.964,872314.7,0,0,,,,,,,,,,0
2025-06-13 03:00:00,2.956,3.0382,2.9626,3.0251,1144867.2,1,0,,,,,,,,,,1
2025-06-13 03:30:00,3.0188,3.0496,3.0253,3.0316,348336.0,0,1,,,,,,,,,,0
2025-06-13 04:00:00,3.0018,3.0343,3.0319,3.0202,627059.5,0,-1,,,,,,,,,,0
2025-06-13 04:30:00,3.0188,3.0459,3.0201,3.0405,244136.6,0,1,,,,,,,,,,0
2025-06-13 05:00:00,2.9885,3.0425,3.0405,2.9993,738797.3,0,0,,,,,,,,,,0
2025-06-13 05:30:00,2.9886,3.0136,2.9982,2.9975,346872.3,0,0,,,,,,,,,,0
