start,low,high,open,close,volume,fibonacciretracement_signal,EMA_Short,EMA_Long,MACD,Signal_Line,macdcrossover_signal,signal
2025-06-12 00:00:00,3.3591,3.4,3.3952,3.3852,431269.9,0,3.3852,3.3852,0.0,0.0,0,0
2025-06-12 01:00:00,3.3506,3.3852,3.3849,3.3666,415402.4,0,3.3823384615384615,3.3838222222222223,-0.0014837606837607709,-0.0002967521367521542,-1,-1
2025-06-12 02:00:00,3.3474,3.3794,3.3663,3.3486,246435.5,0,3.377147928994083,3.3812131687242797,-0.00406523973019679,-0.0010504496554410814,-1,-1
2025-06-12 03:00:00,3.3223,3.356,3.3498,3.3366,689109.5,0,3.370909786071916,3.3779084895595184,-0.006998703487602231,-0.0022401004218733115,-1,-1
2025-06-12 04:00:00,3.3141,3.3405,3.336,3.3298,882659.9,0,3.364585203599314,3.374344897740295,-0.00975969414098099,-0.0037440191656948475,-1,-1
2025-06-12 05:00:00,3.3118,3.3473,3.3299,3.3411,355613.3,0,3.3609720953532656,3.3718823127224953,-0.010910217369229702,-0.005177258806401819,-1,-1
2025-06-12 06:00:00,3.3246,3.356,3.3408,3.3462,218491.9,0,3.358699465298917,3.3699799191874957,-0.0112804538885789,-0.0063978978228372355,-1,-1
2025-06-12 07:00:00,3.3255,3.3559,3.3465,3.3328,393156.4,0,3.3547149321760066,3.367225851099533,-0.012510918923526404,-0.00762050204297507,-1,-1
2025-06-12 08:00:00,3.3036,3.3364,3.3327,3.3238,427980.1,0,3.3499587887643134,3.3640091213884564,-0.014050332624143014,-0.008906468159208659,-1,-1
2025-06-12 09:00:00,3.3119,3.3298,3.3238,3.3128,118332.6,0,3.3442420520313423,3.3602158531374595,-0.015973801106117236,-0.010319934748590375,-1,-1
2025-06-12 10:00:00,3.2794,3.3159,3.3125,3.294,984067.5,0,3.336512505564982,3.3553109751272774,-0.018798469562295583,-0.012015641711331416,-1,-1
2025-06-12 11:00:00,3.2533,3.2975,3.2937,3.2629,506949.0,0,3.325187504708831,3.348465717710442,-0.02327821300161137,-0.014268155969387408,-1,-1
2025-06-12 12:00:00,3.2495,3.2946,3.263,3.2784,1082065.5,0,3.3179894270613186,3.343275664546706,-0.025286237485387275,-0.016471772272587382,-1,-1
2025-06-12 13:00:00,3.2703,3.3144,3.2782,3.3112,901889.5,0,3.3169448998211157,3.340899689395098,-0.02395478957398245,-0.017968375732866398,-1,-1
