start,low,high,open,close,volume,ichimokucloud_signal,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,signal
2025-06-11 23:00:00,3.3565,3.3997,3.3622,3.3954,638848.3,0,,,,3.3781,2.9794,0
2025-06-12 00:00:00,3.3591,3.4,3.3952,3.3852,431269.9,0,,,,3.37825,2.964,0
2025-06-12 01:00:00,3.3506,3.3852,3.3849,3.3666,415402.4,0,,,,3.3753,3.0316,0
2025-06-12 02:00:00,3.3474,3.3794,3.3663,3.3486,246435.5,0,,,,3.3737,3.0405,0
2025-06-12 03:00:00,3.3223,3.356,3.3498,3.3366,689109.5,0,,,,3.36115,2.9975,0
2025-06-12 04:00:00,3.3141,3.3405,3.336,3.3298,882659.9,0,,,,3.35705,3.019,0
2025-06-12 05:00:00,3.3118,3.3473,3.3299,3.3411,355613.3,0,,,,3.3559,3.0286,0
2025-06-12 06:00:00,3.3246,3.356,3.3408,3.3462,218491.9,0,,,,3.3559,3.0259,0
2025-06-12 07:00:00,3.3255,3.3559,3.3465,3.3328,393156.4,0,3.3559,,,3.3559,3.0168,0
2025-06-12 08:00:00,3.3036,3.3364,3.3327,3.3238,427980.1,0,3.3518,,,3.3518,3.023,0
2025-06-12 09:00:00,3.3119,3.3298,3.3238,3.3128,118332.6,0,3.3444000000000003,,,3.3518,3.0243,0
2025-06-12 10:00:00,3.2794,3.3159,3.3125,3.294,984067.5,0,3.3293999999999997,,,3.3396999999999997,3.0029,0
2025-06-12 11:00:00,3.2533,3.2975,3.2937,3.2629,506949,0,3.3046499999999996,,,3.32665,3.0068,0
2025-06-12 12:00:00,3.2495,3.2946,3.263,3.2784,1082065.5,0,3.3027499999999996,,,3.32475,3.0144,0
2025-06-12 13:00:00,3.2703,3.3144,3.2782,3.3112,901889.5,0,3.3027499999999996,,,3.32475,3.0375,0
2025-06-12 14:00:00,3.3088,3.3614,3.3118,3.3473,791685.1,0,3.30545,,,3.32475,3.0543,0
2025-06-12 15:00:00,3.2805,3.3612,3.3474,3.2885,714203.4,0,3.30545,,,3.32475,3.0406,0
2025-06-12 16:00:00,3.2837,3.3461,3.2885,3.3306,342337.1,0,3.30545,,,3.32475,3.0174,0
2025-06-12 17:00:00,3.329,3.3728,3.3307,3.3582,377141.7,0,3.3111499999999996,,,3.32475,3.0174,0
2025-06-12 18:00:00,3.3156,3.3619,3.3582,3.3304,590694.2,0,3.3111499999999996,,,3.32475,3.0465,0
2025-06-12 19:00:00,3.241,3.3392,3.3303,3.2586,1319609.3,0,3.3068999999999997,,,3.3205,3.0624,0
2025-06-12 20:00:00,3.1854,3.275,3.2584,3.2103,2037609,0,3.2790999999999997,,,3.2927,3.0548,0
2025-06-12 21:00:00,3.2025,3.2492,3.2092,3.2082,571255.8,0,3.2790999999999997,,,3.2927,3.0773,0
2025-06-12 22:00:00,3.1908,3.2304,3.2082,3.2091,750144.8,0,3.2790999999999997,,,3.2927,3.0532,0
2025-06-12 23:00:00,3.1944,3.2324,3.209,3.209,331731.3,0,3.2790999999999997,,,3.2927,3.0315,0
2025-06-13 00:00:00,2.958,3.2118,3.2094,2.9951,7210937.8,0,3.1654,3.1790000000000003,3.1722,3.1790000000000003,3.032,0
2025-06-13 01:00:00,2.92,2.995,2.995,2.9794,2758840.3,0,3.1464,3.16,3.1532,3.16,3.0321,0
2025-06-13 02:00:00,2.9336,2.9886,2.9784,2.964,1911155.1,0,3.14095,3.1526,3.146775,3.16,3.0507,0
2025-06-13 03:00:00,2.956,3.0496,2.9626,3.0316,1493203.2,0,3.1296,3.1497,3.13965,3.16,3.0532,0
2025-06-13 04:00:00,3.0018,3.0459,3.0319,3.0405,871196.1,0,3.0975,3.1464,3.12195,3.16,3.0313,0
2025-06-13 05:00:00,2.9885,3.0425,3.0405,2.9975,1085669.6,0,3.0846,3.1464,3.1155,3.16,3.0285,0
2025-06-13 06:00:00,2.9551,3.019,2.9979,3.019,1450866.8,0,3.0762,3.1464,3.1113,3.16,3.0255,0
2025-06-13 07:00:00,2.9917,3.0347,3.0185,3.0286,878444.6,0,3.0762,3.1464,3.1113,3.16,3.0105,0
2025-06-13 08:00:00,3.0224,3.0683,3.028,3.0259,618686.7,0,3.0659,3.1464,3.10615,3.16,3.021,0
2025-06-13 09:00:00,3.0035,3.0286,3.026,3.0168,572116,0,2.99415,3.1464,3.0702749999999996,3.16,3.0288,0
2025-06-13 10:00:00,2.993,3.0255,3.017,3.023,638764.9,0,3.00095,3.1464,3.0736749999999997,3.16,3.0114,0
2025-06-13 11:00:00,2.9971,3.0376,3.0236,3.0243,436464,0,3.0117,3.1464,3.0790499999999996,3.16,2.9976,0
2025-06-13 12:00:00,2.9996,3.0446,3.0242,3.0029,960598.3,0,3.0117,3.1464,3.0790499999999996,3.16,2.984,0
2025-06-13 13:00:00,2.988,3.0301,3.003,3.0068,1180455.1,0,3.0117,3.1464,3.0790499999999996,3.16,2.9264,0
2025-06-13 14:00:00,2.9729,3.0222,3.0069,3.0144,966592,0,3.0117,3.1464,3.0790499999999996,3.16,2.8386,0
2025-06-13 15:00:00,3.002,3.0584,3.0151,3.0375,1220151.3,0,3.0206,3.1464,3.0835,3.16,2.863,0
2025-06-13 16:00:00,3.0231,3.0808,3.0375,3.0543,954001.3,0,3.02685,3.1464,3.0866249999999997,3.16,2.8422,0
2025-06-13 17:00:00,3.0004,3.0539,3.0537,3.0406,932481.9,0,3.02685,3.1464,3.0866249999999997,3.16,2.874,0
2025-06-13 18:00:00,2.992,3.0529,3.0409,3.0174,1144168,0,3.02685,3.1464,3.0866249999999997,3.16,2.8878,0
2025-06-13 19:00:00,3.0039,3.0354,3.0159,3.0174,802372.8,0,3.02685,3.14095,3.0839,3.16,2.9196,0
2025-06-13 20:00:00,3.0076,3.0563,3.0179,3.0465,570836.2,0,3.02685,3.1296,3.0782249999999998,3.16,2.9343,0
2025-06-13 21:00:00,3.0351,3.0717,3.0468,3.0624,713669.1,0,3.02685,3.0975,3.062175,3.16,2.9475,0
2025-06-13 22:00:00,3.0443,3.0824,3.0627,3.0548,358251.5,0,3.02765,3.0846,3.0561249999999998,3.16,2.9702,0
2025-06-13 23:00:00,3.055,3.0832,3.055,3.0773,424460.1,0,3.0376000000000003,3.0762,3.0569,3.16,2.9637,0
2025-06-14 00:00:00,3.0475,3.0783,3.0772,3.0532,777971.7,0,3.0376000000000003,3.0762,3.0569,3.16,2.9895,0
2025-06-14 01:00:00,3.0256,3.0535,3.0532,3.0315,550254.6,0,3.0376000000000003,3.0659,3.05175,3.16,2.9812,0
2025-06-14 02:00:00,3.0204,3.0426,3.0321,3.032,240368,0,3.0376000000000003,3.0016,3.0196,3.16,3.0112,0
2025-06-14 03:00:00,3.0255,3.046,3.0321,3.0321,334857.7,0,3.0435499999999998,3.0084,3.025975,3.16,3.0272,0
2025-06-14 04:00:00,3.0272,3.0552,3.0321,3.0507,185054.5,0,3.0454,3.01915,3.032275,3.1526,3.006,0
2025-06-14 05:00:00,3.0405,3.0588,3.051,3.0532,121571.5,0,3.0518,3.01915,3.035475,3.1497,2.9946,0
2025-06-14 06:00:00,3.0289,3.0586,3.0537,3.0313,227409.3,0,3.0518,3.01915,3.035475,3.1464,2.9834,0
2025-06-14 07:00:00,3.0082,3.0336,3.0315,3.0285,275896.3,0,3.0457,3.01915,3.032425,3.1464,2.9631,0
2025-06-14 08:00:00,3.007,3.0291,3.0282,3.0255,386544.4,0,3.04265,3.0280500000000004,3.03535,3.1464,2.987,0
2025-06-14 09:00:00,3.0075,3.029,3.0261,3.0105,62825,0,3.0329,3.0280500000000004,3.030475,3.1464,2.9626,0
2025-06-14 10:00:00,3.0077,3.027,3.0108,3.021,143365.2,0,3.0329,3.0280500000000004,3.030475,3.1464,2.9763,0
2025-06-14 11:00:00,3.0191,3.0342,3.0213,3.0288,92607.9,0,3.0329,3.0280500000000004,3.030475,3.1464,2.9777,0
2025-06-14 12:00:00,2.9969,3.0327,3.0283,3.0114,430979.5,-1,3.02785,3.0280500000000004,3.02795,3.1464,3.0105,-1
2025-06-14 13:00:00,2.9799,3.0226,3.0117,2.9976,660197.8,0,3.01935,3.0280500000000004,3.0237000000000003,3.1464,3.009,0
2025-06-14 14:00:00,2.9784,3.0013,2.9979,2.984,409185.1,0,3.0185000000000004,3.0280500000000004,3.0232750000000004,3.1464,3.0135,0
2025-06-14 15:00:00,2.907,2.9909,2.9846,2.9264,1652979.9,0,2.9706,2.9951,2.98285,3.1399,3.0175,0
2025-06-14 16:00:00,2.8281,2.939,2.9265,2.8386,4197717.8,0,2.9311499999999997,2.9556500000000003,2.9434,3.10045,3.0303,0
2025-06-14 17:00:00,2.8331,2.8919,2.8391,2.863,1585005.8,0,2.9311499999999997,2.9556500000000003,2.9434,3.10045,3.0195,0
2025-06-14 18:00:00,2.8057,2.8874,2.8634,2.8422,2816684.2,0,2.91995,2.94445,2.9322,3.08925,2.9859,0
2025-06-14 19:00:00,2.8307,2.9061,2.8424,2.874,1676780.8,0,2.91995,2.94445,2.9322,3.08925,3.0001,0
