start,low,high,open,close,volume,fibonacciretracement_signal,FlowMinMax,ew_0,ew_1,ew_2,ew_3,ew_4,ew_5,ew_a,ew_b,ew_c,signal
2025-06-12 04:30:00,3.3141,3.3354,3.3315,3.3206,189731.7,0,-1,,,,,,,,,,0
2025-06-12 04:45:00,3.3195,3.3304,3.3204,3.3298,99972.9,0,1,,,,,,,,,,0
2025-06-12 05:00:00,3.3118,3.3299,3.3299,3.3222,134610.8,0,-1,,,,,,,,,,0
2025-06-12 05:15:00,3.3219,3.3424,3.3225,3.3406,83566.9,0,1,,,,,,,,,,0
2025-06-12 05:30:00,3.332,3.3462,3.341,3.3327,98811.5,0,-1,,,,,,,,,,0
2025-06-12 05:45:00,3.3325,3.3473,3.3329,3.3411,38624.1,0,1,,,,,,,,,,0
2025-06-12 06:00:00,3.333,3.3426,3.3408,3.3341,36302.0,0,-1,,,,,,,,,,0
2025-06-12 06:15:00,3.3246,3.3371,3.3339,3.3352,51494.4,0,0,,,,,,,,,,0
2025-06-12 06:30:00,3.3354,3.356,3.3354,3.3516,53840.1,0,1,,,,,,,,,,0
2025-06-12 06:45:00,3.3441,3.3513,3.3512,3.3462,76855.4,0,-1,,,,,,,,,,0
2025-06-12 07:00:00,3.3462,3.3552,3.3465,3.3506,58226.0,0,1,,,,,,,,,,0
2025-06-12 07:15:00,3.3404,3.3559,3.3504,3.3408,48553.6,0,0,,,,,,,,,,0
2025-06-12 07:30:00,3.3255,3.3497,3.3407,3.3352,98128.7,0,0,,,,,,,,,,0
2025-06-12 07:45:00,3.3282,3.3444,3.3357,3.3328,188248.1,0,0,,,,,,,,,,0
2025-06-12 08:00:00,3.3036,3.3364,3.3327,3.3231,235191.6,0,0,,,,,,,,,,0
2025-06-12 08:15:00,3.3113,3.3258,3.3228,3.3205,116255.2,0,-1,,,,,,,,,,0
2025-06-12 08:30:00,3.3135,3.324,3.3195,3.323,40278.4,0,0,,,,,,,,,,0
2025-06-12 08:45:00,3.3162,3.3313,3.3222,3.3238,36254.9,0,1,,,,,,,,,,0
2025-06-12 09:00:00,3.313,3.3298,3.3238,3.3133,54766.4,0,-1,,,,,,,,,,0
2025-06-12 09:15:00,3.3133,3.3213,3.3138,3.3192,15292.4,0,0,,,,,,,,,,0
2025-06-12 09:30:00,3.3182,3.3266,3.3195,3.3201,19196.8,0,1,,,,,,,,,,0
2025-06-12 09:45:00,3.3119,3.321,3.3203,3.3128,29077.0,0,0,,,,,,,,,,0
2025-06-12 10:00:00,3.2943,3.3159,3.3125,3.2979,181102.7,0,0,,,,,,,,,,0
2025-06-12 10:15:00,3.2794,3.3018,3.2986,3.2923,531464.8,0,0,,,,,,,,,,0
2025-06-12 10:30:00,3.2822,3.2957,3.2922,3.2844,154125.7,0,-1,,,,,,,,,,0
2025-06-12 10:45:00,3.2821,3.2976,3.2857,3.294,117374.3,0,1,,,,,,,,,,0
2025-06-12 11:00:00,3.284,3.2975,3.2937,3.29,101216.2,0,0,,,,,,,,,,0
2025-06-12 11:15:00,3.2533,3.2898,3.2898,3.2553,201798.4,0,-1,,,,,,,,,,0
2025-06-12 11:30:00,3.2538,3.2698,3.2568,3.2678,133818.1,0,1,,,,,,,,,,0
2025-06-12 11:45:00,3.2617,3.2736,3.2677,3.2629,70116.3,0,0,,,,,,,,,,0
2025-06-12 12:00:00,3.25,3.2725,3.263,3.2544,202285.6,0,-1,,,,,,,,,,0
2025-06-12 12:15:00,3.2495,3.27,3.2543,3.2688,244712.1,0,0,,,,,,,,,,0
2025-06-12 12:30:00,3.2634,3.2946,3.2687,3.2922,531578.1,0,1,,,,,,,,,,0
2025-06-12 12:45:00,3.2722,3.2926,3.2926,3.2784,103489.7,0,-1,,,,,,,,,,0
2025-06-12 13:00:00,3.2768,3.2926,3.2782,3.291,77582.3,0,1,,,,,,,,,,0
2025-06-12 13:15:00,3.2746,3.2964,3.291,3.2827,141056.8,0,-1,,,,,,,,,,0
2025-06-12 13:30:00,3.2703,3.3083,3.2828,3.3057,485903.9,0,0,,,,,,,,,,0
2025-06-12 13:45:00,3.2948,3.3144,3.3062,3.3112,197346.5,0,0,,,,,,,,,,0
2025-06-12 14:00:00,3.3088,3.327,3.3118,3.3254,195867.2,0,0,,,,,,,,,,0
2025-06-12 14:15:00,3.3191,3.3337,3.3255,3.3288,278688.6,0,0,,,,,,,,,,0
2025-06-12 14:30:00,3.3276,3.35,3.3292,3.343,147292.3,0,0,,,,,,,,,,0
2025-06-12 14:45:00,3.3408,3.3614,3.3431,3.3473,169837.0,0,0,,,,,,,,,,0
2025-06-12 15:00:00,3.3474,3.3612,3.3474,3.3492,175268.8,0,1,,,,,,,,,,0
2025-06-12 15:15:00,3.3156,3.3567,3.3489,3.3264,267216.8,0,-1,,,,,,,,,,0
2025-06-12 15:30:00,3.3246,3.338,3.326,3.3278,74243.9,0,1,,,,,,,,,,0
2025-06-12 15:45:00,3.2805,3.3277,3.3276,3.2885,197473.9,0,-1,,,,,,,,,,0
2025-06-12 16:00:00,3.2837,3.3168,3.2885,3.3104,142997.3,0,0,,,,,,,,,,0
2025-06-12 16:15:00,3.3103,3.342,3.3116,3.3378,96968.6,0,0,,,,,,,,,,0
2025-06-12 16:30:00,3.3253,3.3427,3.338,3.3412,59399.9,0,1,,,,,,,,,,0
2025-06-12 16:45:00,3.3258,3.3461,3.342,3.3306,42971.3,0,-1,,,,,,,,,,0
2025-06-12 17:00:00,3.329,3.3517,3.3307,3.3411,90154.1,0,0,,,,,,,,,,0
2025-06-12 17:15:00,3.3411,3.354,3.3411,3.3518,81284.2,0,0,,,,,,,,,,0
2025-06-12 17:30:00,3.3494,3.3695,3.3525,3.365,143759.8,0,1,,,,,,,,,,0
2025-06-12 17:45:00,3.3544,3.3728,3.3663,3.3582,61943.6,0,0,,,,,,,,,,0
2025-06-12 18:00:00,3.3392,3.3619,3.3582,3.3411,60715.8,0,0,,,,,,,,,,0
2025-06-12 18:15:00,3.3288,3.3441,3.3418,3.3337,32177.1,0,0,,,,,,,,,,0
2025-06-12 18:30:00,3.3275,3.3504,3.3341,3.3308,70711.0,0,0,,,,,,,,,,0
2025-06-12 18:45:00,3.3156,3.3355,3.3297,3.3304,427090.3,0,0,,,,,,,,,,0
2025-06-12 19:00:00,3.3232,3.3392,3.3303,3.3302,435682.8,0,0,,,,,,,,,,0
2025-06-12 19:15:00,3.3252,3.3392,3.3304,3.3293,79260.1,0,0,,,,,,,,,,0
2025-06-12 19:30:00,3.306,3.3295,3.3292,3.3066,132225.4,0,0,,,,,,,,,,0
2025-06-12 19:45:00,3.241,3.3068,3.3068,3.2586,672441.0,0,0,,,,,,,,,,0
2025-06-12 20:00:00,3.2488,3.2742,3.2584,3.2534,264670.2,0,-1,,,,,,,,,,0
2025-06-12 20:15:00,3.2486,3.275,3.2533,3.2703,64546.3,0,1,,,,,,,,,,0
2025-06-12 20:30:00,3.2157,3.2723,3.27,3.2227,792821.9,-1,0,,,,,,,,,,-1
2025-06-12 20:45:00,3.1854,3.2266,3.2222,3.2103,915570.6,0,-1,,,,,,,,,,0
2025-06-12 21:00:00,3.2025,3.228,3.2092,3.2173,213027.9,0,0,,,,,,,,,,0
2025-06-12 21:15:00,3.2171,3.2491,3.2173,3.248,132545.0,0,1,,,,,,,,,,0
2025-06-12 21:30:00,3.2162,3.2492,3.2472,3.2232,175590.1,-1,0,,,,,,,,,,-1
2025-06-12 21:45:00,3.2082,3.2324,3.2239,3.2082,50092.8,0,-1,,,,,,,,,,0
2025-06-12 22:00:00,3.2082,3.2304,3.2082,3.2283,46750.4,0,1,,,,,,,,,,0
2025-06-12 22:15:00,3.2103,3.23,3.2279,3.2138,92672.7,0,0,,,,,,,,,,0
2025-06-12 22:30:00,3.1908,3.2206,3.2139,3.1993,415242.3,0,-1,,,,,,,,,,0
