start,low,high,open,close,volume,MA,STD,UpperBand,LowerBand,bollingerbands_signal,VWAP,vwap_signal,prev_close,prev_vwap,signal
2025-06-17 23:00:00,2.8218,2.857,2.8236,2.8366,347919.8,,,,,0,2.8384666666666667,0,,,0
2025-06-18 00:00:00,2.8188,2.8545,2.8372,2.844,346885.5,,,,,0,2.8387828619374855,1,2.8366,2.8384666666666667,1
2025-06-18 01:00:00,2.8415,2.8767,2.8442,2.8486,451311.9,,,,,0,2.8454050246024862,0,2.844,2.8387828619374855,0
2025-06-18 02:00:00,2.8392,2.867,2.8488,2.8522,309517.4,,,,,0,2.846977447762874,0,2.8486,2.8454050246024862,0
2025-06-18 03:00:00,2.846,2.8886,2.8519,2.8818,360928.3,,,,,0,2.851975607206701,0,2.8522,2.846977447762874,0
2025-06-18 04:00:00,2.8788,2.9164,2.882,2.909,383085.2,,,,,0,2.860583235580576,0,2.8818,2.851975607206701,0
2025-06-18 05:00:00,2.8928,2.919,2.9092,2.9,526359.8,,,,,0,2.8689536254034085,0,2.909,2.860583235580576,0
2025-06-18 06:00:00,2.8539,2.9039,2.9002,2.8658,417048.9,,,,,0,2.8696939909782513,-1,2.9,2.8689536254034085,-1
2025-06-18 07:00:00,2.8511,2.8715,2.8656,2.8671,309156.0,,,,,0,2.8691154197282773,0,2.8658,2.8696939909782513,0
2025-06-18 08:00:00,2.7569,2.8773,2.8671,2.7756,3299724.7,,,,,0,2.83693461874462,0,2.8671,2.8691154197282773,0
2025-06-18 09:00:00,2.7363,2.7974,2.7777,2.7507,1826206.7,,,,,0,2.8208681973244674,0,2.7756,2.83693461874462,0
2025-06-18 10:00:00,2.7069,2.7568,2.7509,2.7169,1719777.3,,,,,0,2.8051697188897133,0,2.7507,2.8208681973244674,0
2025-06-18 11:00:00,2.7139,2.7764,2.716,2.7714,1087641.0,,,,,0,2.8002720207458642,0,2.7169,2.8051697188897133,0
2025-06-18 12:00:00,2.7396,2.7729,2.7698,2.7432,642808.5,,,,,0,2.7976869702766347,0,2.7714,2.8002720207458642,0
2025-06-18 13:00:00,2.718,2.7674,2.7432,2.7662,1208228.3,,,,,0,2.79338281651995,0,2.7432,2.7976869702766347,0
2025-06-18 14:00:00,2.7548,2.8151,2.7664,2.7777,1775317.7,,,,,0,2.7920997505706078,0,2.7662,2.79338281651995,0
2025-06-18 15:00:00,2.7668,2.7993,2.777,2.7769,548490.1,,,,,0,2.7917084945281836,0,2.7777,2.7920997505706078,0
2025-06-18 16:00:00,2.762,2.7858,2.7773,2.7802,443957.6,,,,,0,2.7912727443024754,0,2.7769,2.7917084945281836,0
2025-06-18 17:00:00,2.7646,2.8105,2.7796,2.804,493398.5,,,,,0,2.7913253982275203,1,2.7802,2.7912727443024754,1
2025-06-18 18:00:00,2.765,2.8262,2.8041,2.768,1365624.5,2.811795,0.05645923051659765,2.9247134610331953,2.698876538966805,0,2.7909488602155417,-1,2.804,2.7913253982275203,-1
2025-06-18 19:00:00,2.7619,2.8076,2.7678,2.7701,1087477.8,2.8084700000000002,0.05687813473142654,2.922226269462853,2.6947137305371474,0,2.7903129188407423,0,2.768,2.7909488602155417,0
2025-06-18 20:00:00,2.7617,2.8429,2.7704,2.828,1016085.4,2.80767,0.05646310486084085,2.9205962097216815,2.6947437902783182,0,2.7913588653743817,1,2.7701,2.7903129188407423,1
2025-06-18 21:00:00,2.8034,2.846,2.8288,2.8368,937936.7,2.80708,0.056073209664734364,2.9192264193294686,2.6949335806705315,0,2.793035740457971,0,2.828,2.7913588653743817,0
2025-06-18 22:00:00,2.8296,2.846,2.8364,2.8335,243379.2,2.806145,0.05543351138265122,2.9170120227653022,2.6952779772346975,0,2.7935344028900118,0,2.8368,2.793035740457971,0
